"","Date","N1","LoessN1","DetrendedN1"
"303",381,152657,250825.992826516,-98168.9928265159
"304",386,221534,253426.337169682,-31892.3371696818
"305",387,257118,254158.250018858,2959.74998114217
"306",388,258994,254890.162868034,4103.83713196611
"307",390,213920,257318.122810295,-43398.1228102955
"308",391,414400,258532.102781426,155867.897218574
"309",392,259958,259746.082752557,211.917247442936
"310",393,172041,261677.856474249,-89636.8564742489
"311",394,161258,263609.630195941,-102351.630195941
"312",397,823463,272423.675934304,551039.324065696
"313",399,363524,279305.947950976,84218.0520490239
"314",395,388836,265541.403917633,123294.596082367
"315",398,223389,275864.81194264,-52475.8119426402
"316",400,117195,282458.914532832,-165263.914532832
"317",401,138760,285611.881114687,-146851.881114687
"318",402,172996,288764.847696542,-115768.847696542
"319",404,244421,300946.422427618,-56525.4224276182
"320",405,178713,307037.209793156,-128324.209793156
"321",406,136002,313127.997158694,-177125.997158694
"322",407,145505,318651.799428562,-173146.799428562
"323",408,205447,324175.60169843,-118728.60169843
"324",409,147490,329699.403968299,-182209.403968299
"325",411,223370,346389.718309292,-123019.718309292
"326",412,306400,354734.875479789,-48334.8754797886
"327",413,269511,363080.032650285,-93569.0326502852
"328",414,184266,370980.577047616,-186714.577047616
"329",415,188360,378881.121444946,-190521.121444946
"330",416,220997,386781.665842277,-165784.665842277
"331",418,390103,408600.454075462,-18497.4540754617
"332",419,334930,419509.848192054,-84579.848192054
"333",420,181204,430419.242308646,-249215.242308646
"334",421,305568,441923.972654286,-136355.972654286
"335",422,313620,453428.702999927,-139808.702999927
"336",423,514912,464933.433345567,49978.5666544333
"337",425,517542,489723.706648256,27818.2933517437
"338",427,418845,514513.979950946,-95668.9799509458
"339",428,411269,528854.927363922,-117585.927363922
"340",429,1102142,543195.874776898,558946.125223102
"341",430,834031,557536.822189874,276494.177810126
"342",432,770836,591421.525186997,179414.474813003
"343",433,625996,608363.876685559,17632.1233144409
"344",434,954310,625306.22818412,329003.77181588
"345",435,514645,644786.03754928,-130141.03754928
"346",436,1021499,664265.846914439,357233.153085561
"347",437,1705574,683745.656279599,1021828.3437204
"348",439,799162,726665.827736578,72496.1722634223
"349",441,544670,769585.999193557,-224915.999193557
"350",442,895287,792470.199612645,102816.800387355
"351",443,515703,815354.400031733,-299651.400031733
"352",446,892689,885973.406282364,6715.59371763631
"353",447,559639,909840.809198134,-350201.809198134
"354",448,546354,933708.212113905,-387354.212113905
"355",444,797079,838238.600450822,-41159.6004508218
"356",449,656925,959543.909354055,-302618.909354055
"357",450,413063,985379.606594205,-572316.606594205
"358",451,768689,1011215.30383436,-242526.303834355
"359",453,584068,1062056.61372548,-477988.613725475
"360",454,1498471,1087477.26867104,410993.731328965
"361",455,685881,1112897.9236166,-427016.923616595
"362",456,863144,1138112.26202274,-274968.262022739
"363",457,1244435,1163326.60042888,81108.3995711175
"364",461,603871,1264137.35795582,-660266.35795582
"365",460,555241,1238938.55158222,-683697.551582222
"366",458,583513,1188540.93883503,-605027.938835026
"367",462,233888,1289336.16432942,-1055448.16432942
"368",467,1329411,1416209.39243167,-86798.3924316652
"369",468,1036640,1441869.78343786,-405229.783437865
"370",469,1309691,1467530.17444406,-157839.174444064
"371",470,1452283,1493190.56545026,-40907.5654502632
"372",474,2172579,1597221.409124,575357.590876003
"373",475,2098289,1623708.20320132,474580.796798679
"374",476,1848393,1650194.99727865,198198.002721354
"375",478,2554190,1703168.58543329,851021.414566705
"376",477,4630522,1676681.79135597,2953840.20864403
"377",479,1423754,1730116.29809811,-306362.298098113
"378",481,1206293,1784011.72342775,-577718.723427751
"379",482,1298075,1810959.43609257,-512884.43609257
"380",483,852501,1838299.79816149,-985798.798161493
"381",484,1125456,1865640.16023042,-740184.160230416
"382",485,1177120,1892980.52229934,-715860.522299339
"383",489,922314,2003346.78601381,-1081032.78601381
"384",488,928607,1975671.48546529,-1047064.48546529
"385",486,778471,1920320.88436826,-1141849.88436826
"386",490,596777,2031022.08656232,-1434245.08656232
"387",491,510751,2058951.81391516,-1548200.81391516
"388",492,798110,2086881.541268,-1288771.541268
"389",496,4616823,2199266.7624053,2417556.2375947
"390",497,1311229,2227418.59366678,-916189.593666784
