"","Date","FlowRate","BCoV","N1","N2","N1Error","N2Error","PMMoV","LoessN1","LoessN2","DeTrendedN1","DeTrendedN2"
"107",2021-02-15,37.32,2.89,155544,124215,11366,5737,37227898,188315.817265878,151449.139440411,-32771.8172658781,-27234.1394404113
"108",2021-02-16,37.39,1.24,135689,101776,7675,11673,28441465,184056.972601849,148174.42864461,-48367.9726018491,-46398.4286446104
"109",2021-02-17,36.72,1.663872,217893,150095,57820,34952,37353784,179799.893098731,144877.985591924,38093.1069012691,5217.01440807583
"110",2021-02-18,37.67,2.442579,152832,149465,25976,28792,32073142,175542.813595613,141581.542539238,-22710.8135956126,7883.45746076212
"111",2021-02-19,37.55,13.041,380836,289705,46053,29109,35361124,171285.734092494,138285.099486552,209550.265907506,151419.900513448
"112",2021-02-21,36.53,9.218,161831,124722,18670,13164,30419614,176769.912865401,143922.859934673,-14938.9128654006,-19200.8599346728
"113",2021-02-22,37.09,7.25,135521,103582,8385,5430,35824211,179512.002251854,146741.740158733,-43991.0022518538,-43159.7401587334
"114",2021-02-23,37.1,4.525,141070,98541,21548,16367,26238117,182254.091638307,149560.620382794,-41184.0916383069,-51019.620382794
"115",2021-02-24,37.96,6.025002,216155,188486,34916,31928,35604971,184206.094583584,151412.220315201,31948.9054164155,37073.7796847988
"116",2021-02-25,39.27,4.947525,204868,154547,15666,11599,32547713,186158.097528862,153263.820247608,18709.902471138,1283.17975239156
"117",2021-02-28,38.37,4.93,196433,165643,27816,28415,22435069,182886.016262832,149968.091700536,13546.9837371681,15674.9082994635
"118",2021-03-01,39.28,2.02,242302,235284,23627,43076,24449887,181795.322507488,148869.515518179,60506.6774925115,86414.4844818209
"119",2021-03-02,39.64,2.32,171040,123274,25181,15601,30021745,176516.738957188,144454.002050068,-5476.73895718768,-21180.0020500682
"120",2021-03-03,39.42,7.945,214068,164740,11244,12553,13804820,171238.155406887,140038.488581957,42829.8445931131,24701.5114180426
"121",2021-03-04,39.4,9.978,202996,201429,24491,11520,15745531,165959.571856586,135622.975113846,37036.4281434139,65806.0248861535
"122",2021-03-05,39.74,2.47,131079,93307,13176,13599,40424954,160680.988306285,131207.461645736,-29601.9883062853,-37900.4616457356
"123",2021-03-07,39.05,3.27,135728,117358,21904,24717,31651295,143365.537229124,115227.650948107,-7637.53722912364,2130.34905189322
"124",2021-03-08,39.33,4.59,130820,96612,14925,7095,73810981,134707.811690543,107237.745599292,-3887.81169054279,-10625.7455992924
"125",2021-03-09,40.96,5.05,96163,66009,8697,7211,24315473,126050.086151962,99247.840250478,-29887.086151962,-33238.840250478
"126",2021-03-10,41.35,6.1,158101,145274,12895,24256,19642197,119648.856247843,94158.8868934666,38452.1437521574,51115.1131065334
"127",2021-03-11,42.01,0.41,39799,17853,1253,6702,18524171,113247.626343723,89069.9335364551,-73448.6263437232,-71216.9335364551
"128",2021-03-12,41.23,1.87,80111,39204,11741,7781,20204526,106846.396439604,83980.9801794437,-26735.3964396038,-44776.9801794437
"129",2021-03-14,38.02,0.63,62837,52315,5953,10810,13047700,110280.311961004,87139.0931751774,-47443.3119610041,-34824.0931751774
"130",2021-03-15,38.05,0.99,88331,50456,867,6659,17755420,111997.269721704,88718.1496730442,-23666.2697217042,-38262.1496730442
"131",2021-03-16,37.39,1.99,71269,29917,9790,9529,12896207,113714.227482404,90297.2061709111,-42445.2274824043,-60380.2061709111
"132",2021-03-17,38.44,4.142,159090,216852,17817,8609,16580039,118620.558435377,95575.66498226,40469.441564623,121276.33501774
"133",2021-03-18,39.01,5.6,145500,165665,17104,16703,17533288,123526.88938835,100854.123793609,21973.1106116503,64810.8762063912
"134",2021-03-19,38.55,0.465,49915,39296,2057,24280,14169215,128433.220341322,106132.582604958,-78518.2203413224,-66836.5826049577
"135",2021-03-21,37.42,3.473,211332,123155,9253,17852,11677427,139908.402993416,121126.861433758,71423.5970065839,2028.1385662423
"136",2021-03-22,36.2,1.035,162650,121319,10607,26219,16649039,145645.994319463,128624.000848158,17004.005680537,-7305.00084815771
"137",2021-03-23,37.71,3.206,239319,215859,18232,29750,19572781,151383.58564551,136121.140262558,87935.4143544901,79737.8597374423
"138",2021-03-24,37.69,4.61,123745,68809,22429,18160,22281907,152732.782370904,138943.345386616,-28987.7823709036,-70134.3453866161
"139",2021-03-25,40.78,3.57,71201,104614,4442,2238,35775035,154081.979096297,141765.550510675,-82880.9790962973,-37151.5505106745
